id,document,component_name,schema_name
ReverseCA_amountinlocalcurrency_0,"Schema Name: ReverseCA
        Component Name: amountinlocalcurrency
        Component Type: MATH
        Business Purpose: This row represents a component in the 'ReverseCA' schema that calculates the 'amountinlocalcurrency' based on the 'COST' component type, likely used for financial calculations.
        Technical Logic: The 'amountinlocalcurrency' component is a mathematical operation (MATH) that retrieves its value from the 'amountinlocalcurrency' expression, and is associated with a single criteria, indicating a straightforward calculation.",amountinlocalcurrency,ReverseCA
ReverseCA_costallocationparameterperc_1,"Schema Name: ReverseCA
        Component Name: costallocationparameterperc
        Component Type: MATH
        Business Purpose: This row defines a cost allocation parameter percentage component in the ReverseCA schema, used to allocate costs in the MATH model.
        Technical Logic: The component_expr 'costallocationparameterperc' is a reference to the component itself, indicating a self-referential relationship. The component_type 'MATH' and value 'COST' specify the mathematical operation and cost type, respectively. The criteria_count of 1 suggests a single criteria is associated with this component.",costallocationparameterperc,ReverseCA
Bill_I_invoiceqty_2,"Schema Name: Bill_I
        Component Name: invoiceqty
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_I' schema that calculates the invoice quantity based on the 'Qty' expression, with a criteria count of 1, and is used for cost calculation.
        Technical Logic: This component uses a mathematical model (MATH) to calculate the invoice quantity, where the component type is also MATH and the component type value is COST, indicating a cost-based calculation.",invoiceqty,Bill_I
Bill_H_ExchangeRate_3,"Schema Name: Bill_H
        Component Name: ExchangeRate
        Component Type: MATH
        Business Purpose: This row represents a component in the 'Bill_H' schema that calculates the exchange rate for the 'MATH' model, specifically for cost-based calculations.
        Technical Logic: The 'ExchangeRate' component is a mathematical component of type 'MATH' with a value of 'COST', which is evaluated using the expression 'ExchangeRate'. It is used once in the criteria count.",ExchangeRate,Bill_H
Bill_H_AddlCharge_4,"Schema Name: Bill_H
        Component Name: AddlCharge
        Component Type: MATH
        Business Purpose: This row represents a component in the 'Bill_H' schema that calculates an additional charge based on the 'MATH' model, specifically for cost-related calculations.
        Technical Logic: The 'AddlCharge' component is a mathematical operation (component_type: 'MATH') with a value of 'COST' (component_type_value) that is evaluated using the expression 'AddlCharge'. It is used once (criteria_count: 1) in the criteria set.",AddlCharge,Bill_H
Bill_H_RoundOffValue_5,"Schema Name: Bill_H
        Component Name: RoundOffValue
        Component Type: MATH
        Business Purpose: This row defines a 'RoundOffValue' component in the 'Bill_H' schema, used to calculate the cost of a mathematical model 'MATH' based on a single criteria.
        Technical Logic: The 'RoundOffValue' component applies a mathematical operation to calculate the cost of the 'MATH' model, utilizing a single criteria and rounding off the result.",RoundOffValue,Bill_H
PrevBill_Qty_6,"Schema Name: PrevBill
        Component Name: Qty
        Component Type: MATH
        Business Purpose: This row defines a component in the PrevBill schema that calculates the quantity based on the cost, likely for billing purposes.
        Technical Logic: The component 'Qty' in the 'PrevBill' schema uses the 'MATH' model with a type of 'MATH' and a value of 'COST' to perform calculations, specifically referencing the 'Qty' expression, and is used in 1 criteria.",Qty,PrevBill
PrevBill_Rate_7,"Schema Name: PrevBill
        Component Name: Rate
        Component Type: MATH
        Business Purpose: This row defines a 'Rate' component within the 'PrevBill' schema, which is used to calculate the cost of a bill based on a mathematical model.
        Technical Logic: The 'Rate' component is a mathematical component of type 'MATH' with a value of 'COST', utilizing the 'Rate' expression and associated with a single criteria, as indicated by the 'criteria_count' value of 1.",Rate,PrevBill
PrevBill_AddlCharge_8,"Schema Name: PrevBill
        Component Name: AddlCharge
        Component Type: MATH
        Business Purpose: This row represents a component in the PrevBill schema that adds an additional charge to the bill, based on a mathematical calculation.
        Technical Logic: The 'AddlCharge' component in the 'PrevBill' schema uses a mathematical model (MATH) to calculate the additional charge, which is of type 'COST', and is based on the expression 'AddlCharge'. This component has a single criteria and is likely used to calculate extra fees or charges in a billing system.",AddlCharge,PrevBill
PrevBill_DiscountAmt_9,"Schema Name: PrevBill
        Component Name: DiscountAmt
        Component Type: MATH
        Business Purpose: This row defines a component in the PrevBill schema that calculates the Discount Amount based on the Cost, using a mathematical formula.
        Technical Logic: The component 'DiscountAmt' in the 'PrevBill' schema uses a mathematical model 'MATH' to calculate the 'Discount' amount from the 'Cost', with a single criteria and a component type value of 'COST'.",DiscountAmt,PrevBill
