schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary,purpose,technical_logic
ReverseCA,SC00002,Bill Process,ReverseCAM,ForPrdFrom,Per createdid Monthly,TT,2,7,False,"Computes 2 components from ReverseCAM data source, settling Per createdid Monthly and feeds 3 downstream classes.","The 'ReverseCA' component is designed to process data from the ReverseCAM source to compute specific billing components, settling them monthly based on a 'createdid', and feeding these computations to downstream classes.","This 'ReverseCA' component processes data originating from the 'ReverseCAM' data source, aggregates data based on the 'ForPrdFrom' field, computes 2 distinct components using 7 defined conditions, and settles the output 'Per createdid Monthly' with an output process code of 'TT'."
Bill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,1,31,False,"Computes 1 components from Bill_I data source, settling Per Lineid Monthly and feeds 1 downstream classes.","This component is part of the 'Bill Process' group, designed to compute and process billing information, settling data on a 'Per Lineid Monthly' basis.","The 'Bill_I' component aggregates data using 'ForPrdFrom', applies 31 conditions to compute 1 primary component, and settles 'Per Lineid Monthly' with an output process code of 'TT'."
Bill_H,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,3,25,False,"Computes 3 components from Bill_H data source, settling Per interimid Monthly and feeds 37 downstream classes. Performs arithmetic transformations across 25 field conditions.","This component processes billing data from the 'Bill_H' data source, computing specific components settled on a 'Per interimid Monthly' basis.","The system processes data from the 'Bill_H' data source, aggregating information based on 'documentdate', computing 3 components by applying 25 field conditions with arithmetic transformations, and generates output with process code 'TT'."
PrevBill,SC00002,Bill Process,PWBill,ForPrdFrom,Per ItemName Monthly,TT,8,21,False,"Computes 8 components from PWBill data source, settling Per ItemName Monthly and feeds 12 downstream classes. Performs arithmetic transformations across 21 field conditions.","This component, 'PrevBill', is part of the 'Bill Process' group and is designed to calculate previous billing amounts or details.","The 'PrevBill' component retrieves its primary data from the 'PWBill' data source, performs data aggregation based on the 'ForPrdFrom' field, and applies a 'Per ItemName Monthly' settlement logic."
PO&IP_Status,SC00002,Bill Process,PO/IP,ForPrdFrom,Per ItemName Monthly,TT,22,14,False,"Aggregates 22 components from PO/IP data source, settling Per ItemName Monthly and feeds 14 downstream classes. Performs arithmetic transformations across 14 field conditions.",This component aggregates and processes Purchase Order and Invoice/Payment data to support the overall billing process.,"This component aggregates 22 data components, applying logic based on the 'ForPrdFrom' date and settling 'Per ItemName Monthly', before routing the processed output via process code 'TT' to 14 downstream consuming classes."
Bill_Item,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,25,31,False,"Aggregates and allocates 25 components from Bill_I data source, settling Per Lineid Monthly and feeds 41 downstream classes. Performs arithmetic transformations across 31 field conditions.","This component processes individual bill items, aggregating and allocating data from a source system to support the overall billing process.","The Bill_Item component processes 25 distinct data components sourced from 'Bill_I' (internal source SC00002). Data aggregation is performed based on 'ForPrdFrom' and settled 'Per Lineid Monthly'. It applies 31 field conditions for arithmetic transformations, outputting via process code 'TT' to downstream consumers."
CostAllocationMaster,SC00002,Bill Process,CA,ForPrdFrom,Per LOB Monthly,TT,4,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",The purpose of the CostAllocationMaster component is to manage and compute cost allocations required for Per LOB Monthly settlements.,"The CostAllocationMaster processes data from the CA data source, aggregates based on 'ForPrdFrom' date, computes 4 components with 8 field conditions, and generates output using the 'TT' process code."
BillCostAllocation1,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,2,6,False,"Looks up and fetches 2 components from Bill_I data source, settling Per LOB Monthly and feeds 8 downstream classes.",This component is used to generate error text for the BillCostAllocation1 schema.,"The component fetches 2 components from the Bill_I data source, aggregates data on 'ForPrdFrom', and settles data on a Per LOB Monthly basis, feeding 8 downstream classes."
TCostAllocationValue,SC00002,Bill Process,Bill_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from Bill_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.","This component aggregates data from the Bill_I data source to support the Bill Process, specifically for error generation.","This component aggregates 3 components from the Bill_I data source, settling on a Per CostAllocationMethod Monthly basis, with a component count of 1 and 3 conditions."
AP,SC00002,Bill Process,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.","This component is responsible for processing AP data, specifically for error generation.","This component aggregates data on a 'ForPrdFrom' date basis, settles on a 'Per StrategyName Monthly' basis, and performs arithmetic transformations across 43 field conditions."
