schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary,purpose,technical_logic
ReverseCA,SC00002,Bill Process,ReverseCAM,ForPrdFrom,Per createdid Monthly,TT,2,7,False,"Computes 2 components from ReverseCAM data source, settling Per createdid Monthly and feeds 3 downstream classes.","The 'ReverseCA' schema is designed to compute 2 components from data sourced via 'ReverseCAM', settling the process on a Per createdid Monthly basis. It also feeds information into 3 downstream classes.","This schema aggregates data using 'ForPrdFrom' as the date aggregation, processed through 'TT'. It includes 7 conditions and is configured to handle 2 components from the 'ReverseCAM' source, ensuring monthly settlement based on 'Per createdid'."
Bill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,1,31,False,"Computes 1 components from Bill_I data source, settling Per Lineid Monthly and feeds 1 downstream classes.","This schema is designed to compute and aggregate data from the Bill_I source for monthly settlements per lineid, utilizing the TT output process code. It includes 1 component and handles 31 conditions related to the data aggregation.","The schema aggregates data from the 'Bill_I' source with a 'ForPrdFrom' date aggregation on, aiming for a 'Per Lineid Monthly' settlement type using the 'TT' output process code. It processes 1 component and manages 31 conditions."
Bill_H,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,3,25,False,"Computes 3 components from Bill_H data source, settling Per interimid Monthly and feeds 37 downstream classes. Performs arithmetic transformations across 25 field conditions.","The component 'Bill_H' is designed to compute 3 components from Bill_H data source and settle it on a monthly basis for each interimid. It also feeds the results into 37 downstream classes, performing arithmetic transformations across 25 field conditions.","This schema aggregates data based on the 'documentdate', ensuring that computations are performed per interimid at a monthly frequency. The component utilizes the provided fields and conditions to generate outputs for multiple downstream systems."
PrevBill,SC00002,Bill Process,PWBill,ForPrdFrom,Per ItemName Monthly,TT,8,21,False,"Computes 8 components from PWBill data source, settling Per ItemName Monthly and feeds 12 downstream classes. Performs arithmetic transformations across 21 field conditions.","The 'PrevBill' schema is designed to compute 8 components from the PWBill data source and settle the process on a Per ItemName Monthly basis. It then feeds these computations into 12 downstream classes, performing arithmetic transformations across 21 field conditions.","This schema aggregates data using the 'ForPrdFrom' date aggregation method from the 'PWBill' data source. It is configured to handle a settlement type of 'Per ItemName Monthly'. The schema includes 8 components and processes 21 condition fields, all managed through the output process code 'TT'."
PO&IP_Status,SC00002,Bill Process,PO/IP,ForPrdFrom,Per ItemName Monthly,TT,22,14,False,"Aggregates 22 components from PO/IP data source, settling Per ItemName Monthly and feeds 14 downstream classes. Performs arithmetic transformations across 14 field conditions.",Error generating text,Error generating text
Bill_Item,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,25,31,False,"Aggregates and allocates 25 components from Bill_I data source, settling Per Lineid Monthly and feeds 41 downstream classes. Performs arithmetic transformations across 31 field conditions.",Error generating text,Error generating text
CostAllocationMaster,SC00002,Bill Process,CA,ForPrdFrom,Per LOB Monthly,TT,4,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",Error generating text,Error generating text
BillCostAllocation1,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,2,6,False,"Looks up and fetches 2 components from Bill_I data source, settling Per LOB Monthly and feeds 8 downstream classes.","This schema is designed to fetch and aggregate data from the Bill_I source for monthly settlements per LOB, aggregating it under the schema name 'BillCostAllocation1'. It includes 2 components and uses a technical process code TT.","The schema aggregates data based on the date_aggregation_on field set as 'ForPrdFrom' to perform monthly settlements. It processes data from Bill_I source with a component count of 2, using output_process_code TT for downstream processing."
TCostAllocationValue,SC00002,Bill Process,Bill_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from Bill_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.",This schema is designed to aggregate three components from data sourced via 'Bill_I' and settle it monthly based on the cost allocation method. It then feeds these aggregated results into three downstream classes.,"The schema aggregates data from the 'Bill_I' source, groups them according to the specified criteria (likely defined by 'has_getgroupfromschema2'), and processes them using a process code 'TT'. The aggregation is done monthly ('ForPrdFrom') based on the cost allocation method. It includes three conditions that determine how these components are aggregated or processed."
AP,SC00002,Bill Process,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",This schema is designed to compute three components from the AP data source and settle the process monthly per strategy name. It also feeds 20 downstream classes and performs arithmetic transformations on 43 field conditions.,"The schema aggregates data 'ForPrdFrom' and processes it using a specified output code 'TT'. It includes 1 component and 14 conditions, with no getgroupfromschema2 functionality. The technical logic involves aggregating the data source to meet monthly settlement requirements for different strategy names."
