schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary,purpose,technical_logic
ReverseCA,SC00002,Bill Process,ReverseCAM,ForPrdFrom,Per createdid Monthly,TT,2,7,False,"Computes 2 components from ReverseCAM data source, settling Per createdid Monthly and feeds 3 downstream classes.","The 'ReverseCA' component, part of the 'Bill Process' group, is designed to process data from the ReverseCAM source to compute specific billing components, settling them monthly based on a 'createdid', and feeding these computations to downstream classes.","This 'ReverseCA' component processes data originating from the 'ReverseCAM' data source, possibly linked to 'SC00002'. It aggregates data based on the 'ForPrdFrom' field, computes 2 distinct components using 7 defined conditions, and settles the output 'Per createdid Monthly' with an output process code of 'TT'. This component does not utilize the 'has_getgroupfromschema2' mechanism."
Bill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,1,31,False,"Computes 1 components from Bill_I data source, settling Per Lineid Monthly and feeds 1 downstream classes.","This component, 'Bill_I', is a part of the 'Bill Process' group designed to compute and process billing information, specifically settling data on a 'Per Lineid Monthly' basis, and then delivering this processed data to subsequent stages or downstream systems.","The 'Bill_I' component processes data sourced from 'Bill_I'. It aggregates data using the 'ForPrdFrom' field and applies 31 conditions to compute 1 primary component. The output is settled 'Per Lineid Monthly' with an output process code of 'TT', feeding 1 downstream class, and does not involve the 'has_getgroupfromschema2' mechanism."
Bill_H,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,3,25,False,"Computes 3 components from Bill_H data source, settling Per interimid Monthly and feeds 37 downstream classes. Performs arithmetic transformations across 25 field conditions.","This component is designed to process billing data from the 'Bill_H' data source, computing specific components that are settled on a 'Per interimid Monthly' basis, ultimately feeding downstream systems.","The system processes data from the 'Bill_H' data source (potentially identified as 'SC00002'), aggregating information based on the 'documentdate'. It computes 3 distinct components by applying 25 field conditions, which involve arithmetic transformations, and generates output with the process code 'TT'."
PrevBill,SC00002,Bill Process,PWBill,ForPrdFrom,Per ItemName Monthly,TT,8,21,False,"Computes 8 components from PWBill data source, settling Per ItemName Monthly and feeds 12 downstream classes. Performs arithmetic transformations across 21 field conditions.","This component, 'PrevBill', is part of the 'Bill Process' group and is designed to calculate previous billing amounts or details. It computes 8 specific components, aggregating data monthly based on item names, and provides this processed information to 12 downstream systems or processes.","Technically, the 'PrevBill' component retrieves its primary data from the 'PWBill' data source. It performs data aggregation based on the 'ForPrdFrom' field and applies a 'Per ItemName Monthly' settlement logic. The process involves computing 8 distinct components and executing arithmetic transformations across 21 specific field conditions to derive the final output."
PO&IP_Status,SC00002,Bill Process,PO/IP,ForPrdFrom,Per ItemName Monthly,TT,22,14,False,"Aggregates 22 components from PO/IP data source, settling Per ItemName Monthly and feeds 14 downstream classes. Performs arithmetic transformations across 14 field conditions.","This component is designed to aggregate and process Purchase Order and Invoice/Payment data to support the overall billing process, enabling monthly settlements and reporting per item, and distributing this information to various downstream systems.","Operating on data from the PO/IP source (schema SC00002), this component aggregates 22 data components, applying logic based on the 'ForPrdFrom' date and settling 'Per ItemName Monthly'. It includes 14 specific field conditions, likely involving arithmetic transformations, before routing the processed output via process code 'TT' to 14 downstream consuming classes."
Bill_Item,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,25,31,False,"Aggregates and allocates 25 components from Bill_I data source, settling Per Lineid Monthly and feeds 41 downstream classes. Performs arithmetic transformations across 31 field conditions.","This component processes individual bill items, aggregating and allocating data from a source system to support the overall billing process. It prepares data for downstream systems and reporting.","The Bill_Item component processes 25 distinct data components sourced from 'Bill_I' (internal source SC00002). Data aggregation is performed based on 'ForPrdFrom' and settled 'Per Lineid Monthly'. It applies 31 field conditions for arithmetic transformations, outputting via process code 'TT' to downstream consumers."
CostAllocationMaster,SC00002,Bill Process,CA,ForPrdFrom,Per LOB Monthly,TT,4,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.","The purpose of the CostAllocationMaster component, part of the Bill Process group, is to manage and compute cost allocations required for Per LOB Monthly settlements and to feed the processed data to downstream systems.","Technically, the CostAllocationMaster processes data originating from the CA data source (SC00002), with aggregation performed based on the 'ForPrdFrom' date. It computes 4 distinct components by applying 8 specific field conditions, primarily through arithmetic transformations, and generates output using the 'TT' process code. This process does not utilize a getgroupfromschema2 mechanism."
BillCostAllocation1,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,2,6,False,"Looks up and fetches 2 components from Bill_I data source, settling Per LOB Monthly and feeds 8 downstream classes.",Error generating text,Error generating text
TCostAllocationValue,SC00002,Bill Process,Bill_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from Bill_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.",Error generating text,Error generating text
AP,SC00002,Bill Process,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",Error generating text,Error generating text
