schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary
ReverseCA,SC00002,Bill Process,ReverseCAM,ForPrdFrom,Per createdid Monthly,TT,2,7,False,"Computes 2 components from ReverseCAM data source, settling Per createdid Monthly and feeds 3 downstream classes."
Bill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,1,31,False,"Computes 1 components from Bill_I data source, settling Per Lineid Monthly and feeds 1 downstream classes."
Bill_H,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,3,25,False,"Computes 3 components from Bill_H data source, settling Per interimid Monthly and feeds 37 downstream classes. Performs arithmetic transformations across 25 field conditions."
PrevBill,SC00002,Bill Process,PWBill,ForPrdFrom,Per ItemName Monthly,TT,8,21,False,"Computes 8 components from PWBill data source, settling Per ItemName Monthly and feeds 12 downstream classes. Performs arithmetic transformations across 21 field conditions."
PO&IP_Status,SC00002,Bill Process,PO/IP,ForPrdFrom,Per ItemName Monthly,TT,22,14,False,"Aggregates 22 components from PO/IP data source, settling Per ItemName Monthly and feeds 14 downstream classes. Performs arithmetic transformations across 14 field conditions."
Bill_Item,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Lineid Monthly,TT,25,31,False,"Aggregates and allocates 25 components from Bill_I data source, settling Per Lineid Monthly and feeds 41 downstream classes. Performs arithmetic transformations across 31 field conditions."
CostAllocationMaster,SC00002,Bill Process,CA,ForPrdFrom,Per LOB Monthly,TT,4,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions."
BillCostAllocation1,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,2,6,False,"Looks up and fetches 2 components from Bill_I data source, settling Per LOB Monthly and feeds 8 downstream classes."
TCostAllocationValue,SC00002,Bill Process,Bill_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from Bill_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes."
AP,SC00002,Bill Process,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions."
